"Date","Price","Open","High","Low","Vol.","Change %"
"May 07, 2018","4,514.95","4,519.49","4,552.07","4,506.83","-","0.28%"
"May 04, 2018","4,502.44","4,496.55","4,518.90","4,482.10","-","0.15%"
"May 03, 2018","4,495.66","4,531.19","4,557.28","4,491.09","-","-0.82%"
"May 02, 2018","4,533.01","4,518.14","4,561.04","4,509.08","-","0.29%"
"Apr 30, 2018","4,519.99","4,494.03","4,543.13","4,477.21","-","0.55%"
"Apr 28, 2018","4,495.39","4,491.51","4,495.87","4,476.11","-","0.10%"
"Apr 27, 2018","4,491.02","4,462.58","4,496.52","4,447.69","-","0.70%"
"Apr 26, 2018","4,459.92","4,412.09","4,461.59","4,409.17","-","1.30%"
"Apr 25, 2018","4,402.78","4,375.44","4,403.56","4,356.48","-","0.15%"
"Apr 24, 2018","4,396.09","4,416.88","4,436.85","4,384.39","-","0.13%"
"Apr 23, 2018","4,390.17","4,377.56","4,401.60","4,331.60","-","0.49%"
"Apr 20, 2018","4,368.97","4,372.21","4,393.50","4,355.35","-","-0.01%"
"Apr 19, 2018","4,369.49","4,414.11","4,452.03","4,355.03","-","-0.36%"
"Apr 18, 2018","4,385.46","4,304.19","4,408.86","4,299.17","-","2.27%"
"Apr 17, 2018","4,288.29","4,279.92","4,296.62","4,249.19","-","1.94%"
"Apr 16, 2018","4,206.85","4,196.97","4,257.70","4,181.61","-","-0.97%"
"Apr 13, 2018","4,248.09","4,302.31","4,314.45","4,226.88","-","-0.99%"
"Apr 12, 2018","4,290.73","4,250.75","4,301.99","4,198.67","-","1.87%"
"Apr 11, 2018","4,211.87","4,182.20","4,302.21","4,159.35","-","0.77%"
"Apr 10, 2018","4,179.74","4,075.58","4,253.35","4,058.46","-","2.23%"
"Apr 09, 2018","4,088.61","4,436.87","4,436.87","4,017.31","-","-8.08%"
"Apr 06, 2018","4,448.18","4,452.63","4,472.16","4,437.44","-","-0.28%"
"Apr 05, 2018","4,460.58","4,418.55","4,473.25","4,418.55","-","1.12%"
"Apr 04, 2018","4,411.11","4,407.91","4,428.73","4,384.44","-","0.14%"
"Apr 03, 2018","4,404.91","4,396.71","4,410.35","4,364.55","-","0.07%"
"Apr 02, 2018","4,401.88","4,419.91","4,462.47","4,400.51","-","-0.39%"
"Mar 30, 2018","4,419.28","4,428.50","4,435.00","4,415.18","-","0.13%"
"Mar 29, 2018","4,413.43","4,377.11","4,423.13","4,377.11","-","0.75%"
"Mar 28, 2018","4,380.68","4,407.59","4,407.59","4,357.87","-","-0.77%"
"Mar 27, 2018","4,414.64","4,399.86","4,439.11","4,386.16","-","0.52%"
"Mar 26, 2018","4,391.89","4,464.98","4,472.51","4,384.96","-","-1.62%"
"Mar 23, 2018","4,464.43","4,449.59","4,472.17","4,405.63","-","-0.02%"
"Mar 22, 2018","4,465.51","4,523.57","4,532.65","4,462.74","-","-1.21%"
"Mar 21, 2018","4,520.18","4,491.32","4,537.11","4,491.32","-","0.72%"
"Mar 20, 2018","4,488.01","4,484.44","4,497.69","4,437.76","-","0.08%"
"Mar 19, 2018","4,484.53","4,506.49","4,525.29","4,481.01","-","-0.51%"
"Mar 16, 2018","4,507.62","4,460.22","4,510.89","4,431.81","-","0.99%"
"Mar 15, 2018","4,463.49","4,452.45","4,473.24","4,433.69","-","0.25%"
"Mar 14, 2018","4,452.27","4,533.30","4,533.30","4,448.61","-","-1.93%"
"Mar 13, 2018","4,539.83","4,529.36","4,546.82","4,500.78","-","0.29%"
"Mar 12, 2018","4,526.86","4,545.19","4,565.90","4,521.39","-","0.22%"
"Mar 09, 2018","4,516.75","4,462.32","4,517.26","4,454.32","-","1.20%"
"Mar 07, 2018","4,463.20","4,452.82","4,465.65","4,410.52","-","0.01%"
"Mar 06, 2018","4,462.81","4,478.53","4,500.55","4,457.13","-","-0.13%"
"Mar 05, 2018","4,468.46","4,451.06","4,490.03","4,451.06","-","0.71%"
"Mar 02, 2018","4,436.88","4,441.69","4,455.65","4,404.18","-","-0.35%"
"Mar 01, 2018","4,452.45","4,385.74","4,453.05","4,372.68","-","0.59%"
"Feb 28, 2018","4,426.37","4,482.99","4,482.99","4,408.68","-","-1.45%"
"Feb 27, 2018","4,491.29","4,533.15","4,536.13","4,483.82","-","-0.65%"
"Feb 26, 2018","4,520.57","4,515.48","4,561.13","4,511.75","-","1.23%"
"Feb 22, 2018","4,465.65","4,390.44","4,485.43","4,380.84","-","1.81%"
"Feb 21, 2018","4,386.14","4,289.98","4,389.76","4,289.98","-","2.29%"
"Feb 20, 2018","4,288.04","4,268.01","4,297.71","4,265.59","-","0.52%"
"Feb 19, 2018","4,265.67","4,261.46","4,281.50","4,256.14","-","0.08%"
"Feb 16, 2018","4,262.20","4,313.02","4,326.49","4,249.87","-","-1.40%"
"Feb 15, 2018","4,322.83","4,339.70","4,364.32","4,317.76","-","0.07%"
"Feb 14, 2018","4,319.62","4,323.79","4,336.03","4,284.63","-","0.15%"
"Feb 13, 2018","4,313.24","4,285.68","4,322.96","4,275.42","-","0.87%"
"Feb 12, 2018","4,276.16","4,271.42","4,291.73","4,262.40","-","0.51%"
"Feb 09, 2018","4,254.42","4,246.93","4,277.80","4,221.51","-","-0.80%"
"Feb 08, 2018","4,288.67","4,296.16","4,328.17","4,272.77","-","-0.50%"
"Feb 07, 2018","4,310.01","4,306.68","4,337.03","4,298.52","-","0.39%"
"Feb 06, 2018","4,293.11","4,278.88","4,324.11","4,250.11","-","-1.79%"
"Feb 05, 2018","4,371.24","4,344.43","4,374.48","4,305.13","-","0.28%"
"Feb 02, 2018","4,358.83","4,409.04","4,425.95","4,343.75","-","-1.02%"
"Feb 01, 2018","4,403.95","4,393.26","4,439.22","4,391.17","-","0.51%"
"Jan 31, 2018","4,381.43","4,374.44","4,401.64","4,351.10","-","0.04%"
"Jan 30, 2018","4,379.73","4,363.67","4,417.79","4,340.30","-","-0.06%"
"Jan 29, 2018","4,382.42","4,396.97","4,425.43","4,376.41","-","-0.14%"
"Jan 26, 2018","4,388.55","4,479.32","4,480.53","4,382.36","-","-2.08%"
"Jan 25, 2018","4,481.79","4,477.82","4,511.05","4,467.94","-","0.49%"
