Дата,Код фьючерса,Средне-взвешенная цена за лот,Расчетная цена,Цена первой сделки,Максим. цена,Миним. цена,Цена последней сделки,Изменение,"Объем последней сделки, контр.",Число сделок,"Объем торгов, руб.","Объем торгов, контр.","Объем открытых позиций, руб.","Объем открытых позиций, контр.",Размеры ГО (руб./контракт),
30.09.2011,MXZ1,136687,137000,140005,142900,134710,137000,,1,4120,933195340,6827,65212000,476,13700,
03.10.2011,MXZ1,134418,134630,136735,137970,132015,134630,-1.73,2,4842,2699670330,20084,159401920,1184,13470,
04.10.2011,MXZ1,130163,127140,134600,135670,124450,127140,-5.56,5,11289,8715036555,66955,209018160,1644,13470,
05.10.2011,MXZ1,127448,126665,127315,131450,125065,126800,-0.27,1,7690,3010185925,23619,231796950,1830,13470,
06.10.2011,MXZ1,131154,132100,127320,132860,126185,132235,4.29,2,6591,2446674900,18655,231703400,1754,13470,
07.10.2011,MXZ1,135023,135150,131885,136950,131800,135150,2.20,1,4929,1952156495,14458,251108700,1858,13520,
10.10.2011,MXZ1,135569,138105,134730,138380,133300,138105,2.19,3,4948,2114875370,15600,268752330,1946,13820,
11.10.2011,MXZ1,136061,136445,138330,138460,134580,136445,-1.20,8,5372,2980957505,21909,291173630,2134,13820,
12.10.2011,MXZ1,138162,139480,136505,139815,135625,139480,2.22,2,5009,2216676775,16044,335309920,2404,13950,
13.10.2011,MXZ1,138881,138400,139125,141070,137560,138460,-0.73,1,6417,2722902470,19606,1014472000,7330,13950,
14.10.2011,MXZ1,141321,142670,138285,143000,137800,142670,3.04,1,4725,1950791875,13804,1220113840,8552,14270,
17.10.2011,MXZ1,141210,139320,142500,143990,138615,139320,-2.35,1,4934,2182685510,15457,1326047760,9518,14270,
18.10.2011,MXZ1,139601,141510,139310,142280,137130,141510,1.57,1,6892,2527621700,18106,993683220,7022,14270,
19.10.2011,MXZ1,141294,141045,141690,143485,139070,141045,-0.33,1,6146,1999874130,14154,1474766520,10456,14270,
20.10.2011,MXZ1,139956,140865,141250,142000,137535,140865,-0.13,3,5763,2754060340,19678,1394000040,9896,14270,
21.10.2011,MXZ1,141515,144000,139600,144155,139205,144000,2.23,3,4095,1802478020,12737,1250496000,8684,14400,
24.10.2011,MXZ1,145835,147460,143705,147655,143555,147460,2.40,1,3530,1509241405,10349,1241318280,8418,14750,
25.10.2011,MXZ1,145955,145300,147640,149185,143015,145300,-1.46,1,4784,1926319035,13198,985715200,6784,14530,
26.10.2011,MXZ1,147944,149065,144500,150645,144020,149285,2.74,1,4845,2165904270,14640,564956350,3790,14910,
27.10.2011,MXZ1,152350,151880,148825,154260,147990,151880,1.74,1,5465,2018478680,13249,717784880,4726,15190,
28.10.2011,MXZ1,152785,152205,151745,155200,150490,152205,0.21,2,3771,1372930325,8986,627084600,4120,15230,
31.10.2011,MXZ1,150817,149530,152505,153000,148810,149575,-1.73,1,3388,848498200,5626,645969600,4320,14960,
01.11.2011,MXZ1,146494,145350,149490,149865,143190,145350,-2.82,1,5118,1671786975,11412,548841600,3776,14540,
02.11.2011,MXZ1,147316,148205,145180,148720,144000,148205,1.96,1,4656,1919231190,13028,653584050,4410,14830,
03.11.2011,MXZ1,147137,149990,148450,150500,142785,149990,1.20,1,4868,2230308555,15158,630257980,4202,15000,
07.11.2011,MXZ1,149741,151615,149410,151865,147910,151615,1.08,1,2392,716961060,4788,781120480,5152,15170,
08.11.2011,MXZ1,152274,151525,151385,153395,150480,151525,-0.06,1,2326,814511435,5349,697924150,4606,15160,
09.11.2011,MXZ1,149378,146750,152585,153750,145805,146750,-3.15,40,3127,977080025,6541,734630500,5006,14680,
10.11.2011,MXZ1,146518,148570,146415,149690,143675,148560,1.23,1,3345,1121008595,7651,547034740,3682,14860,
11.11.2011,MXZ1,147615,148065,148730,150510,145850,148065,-0.33,2,2724,932927075,6320,565608300,3820,14810,
14.11.2011,MXZ1,148902,147895,148055,150800,147270,147895,-0.12,1,2167,790372005,5308,670555930,4534,14790,
15.11.2011,MXZ1,147699,148380,147890,150320,145005,148380,0.33,2,2969,1127977255,7637,526452240,3548,14840,
16.11.2011,MXZ1,148438,148175,148730,149845,146170,148175,-0.14,3,3111,999283805,6732,534615400,3608,14820,
17.11.2011,MXZ1,146991,148015,147710,149950,144310,148015,-0.11,1,3287,1139178620,7750,524861190,3546,14810,
18.11.2011,MXZ1,145935,146250,147715,148470,143530,146250,-1.19,2,2254,829348505,5683,544927500,3726,14630,
21.11.2011,MXZ1,141483,138925,146500,146500,138620,138925,-5.01,1,2710,1061828555,7505,836328500,6020,14630,
22.11.2011,MXZ1,140354,139980,138765,142140,137240,139980,0.76,2,2148,835245075,5951,848838720,6064,14630,
23.11.2011,MXZ1,140064,140475,139925,142085,137415,140475,0.35,1,2894,1004400245,7171,738055650,5254,14630,
24.11.2011,MXZ1,140282,139265,139690,141465,139060,139265,-0.86,1,1544,463209885,3302,796595800,5720,14630,
25.11.2011,MXZ1,137988,140785,139495,140900,136040,140785,1.09,3,2142,776595235,5628,844428430,5998,14630,
28.11.2011,MXZ1,144513,146770,140120,146955,139450,146770,4.25,1,1597,592937390,4103,769074800,5240,14680,
29.11.2011,MXZ1,145997,145535,146960,148285,144665,145535,-0.84,1,1784,618589735,4237,728257140,5004,14680,
30.11.2011,MXZ1,148005,150365,145950,150580,144445,150365,3.32,1,3615,1370084595,9257,799039610,5314,15040,
01.12.2011,MXZ1,151214,150840,150855,152745,149855,150840,0.32,1,2286,783136380,5179,644991840,4276,15100,
02.12.2011,MXZ1,151663,150500,151000,152925,149590,150500,-0.22,8,2631,1025848045,6764,455714000,3028,15190,
05.12.2011,MXZ1,151156,152025,150985,152595,149815,152025,1.01,2,1594,640901050,4240,541513050,3562,15210,
06.12.2011,MXZ1,148650,145815,152535,153285,145400,145815,-4.08,1,3316,1241231235,8350,645960450,4430,15080,
07.12.2011,MXZ1,145563,145035,146835,147150,143840,145035,-0.54,1,3737,1697704345,11663,661069530,4558,15080,
08.12.2011,MXZ1,146760,145555,145050,148835,144500,145545,0.35,2,3016,1444269020,9841,645681980,4436,15080,
09.12.2011,MXZ1,140454,139980,145250,145555,138060,139980,-3.82,1,2739,1258612615,8961,606953280,4336,15080,
12.12.2011,MXZ1,139555,134980,139905,142935,133505,134980,-3.57,2,2401,1017495315,7291,633866080,4696,15080,
13.12.2011,MXZ1,136083,137890,134510,138325,132115,137890,2.16,1,2261,1120645915,8235,547699080,3972,15080,
14.12.2011,MXZ1,137798,137500,138175,140620,135300,137500,-0.28,2,1540,827489945,6002,384450000,2796,15080,
15.12.2011,MXZ1,136629,136275,137200,139485,132100,136275,-0.89,3,998,408111055,2987,,,15080,
16.12.2011,MXH2,138971,137555,139475,141970,136570,137555,-1.31,6,2558,1036168430,7456,708133140,5148,14610,
19.12.2011,MXH2,137016,137560,137930,139145,135195,137560,0.00,1,2371,716732465,5231,739797680,5378,13760,
