"Date","Price","Open","High","Low","Change %"
"Apr 09, 2018","6.540","6.410","6.650","6.070","4.47"
"Apr 06, 2018","6.260","6.170","6.270","6.080","1.62"
"Apr 05, 2018","6.160","6.190","6.190","6.070","0.82"
"Apr 04, 2018","6.110","6.100","6.390","6.000","0.66"
"Apr 03, 2018","6.070","6.140","6.140","5.980","0.33"
"Apr 02, 2018","6.050","6.130","6.130","5.930","0.33"
"Mar 30, 2018","6.030","6.400","6.400","5.980","-0.99"
"Mar 29, 2018","6.090","6.220","6.220","6.010","-1.14"
"Mar 28, 2018","6.160","6.420","6.420","6.050","1.15"
"Mar 27, 2018","6.090","6.040","6.400","6.040","0.50"
"Mar 26, 2018","6.060","6.070","6.070","6.010","0.17"
"Mar 23, 2018","6.050","6.010","6.060","5.940","0.50"
"Mar 22, 2018","6.020","6.070","6.070","5.950","0.00"
"Mar 21, 2018","6.020","6.110","6.110","6.000","-0.50"
"Mar 20, 2018","6.050","6.110","6.380","6.000","-0.49"
"Mar 19, 2018","6.080","6.100","6.110","5.980","0.00"
"Mar 16, 2018","6.080","6.080","6.120","6.040","0.50"
"Mar 15, 2018","6.050","6.100","6.390","6.050","-0.17"
"Mar 14, 2018","6.060","6.170","6.170","5.950","0.00"
"Mar 13, 2018","6.060","6.170","6.170","6.010","-0.82"
"Mar 12, 2018","6.110","6.440","6.440","6.060","-1.13"
"Mar 09, 2018","6.180","6.440","6.510","5.990","-0.32"
"Mar 08, 2018","6.200","6.510","6.510","6.200","0.00"
"Mar 07, 2018","6.200","6.440","6.440","6.040","-0.32"
"Mar 06, 2018","6.220","6.220","6.220","6.090","-0.16"
"Mar 05, 2018","6.230","6.230","6.230","6.150","0.00"
"Mar 02, 2018","6.230","6.230","6.280","6.120","-0.16"
"Mar 01, 2018","6.240","6.460","6.550","6.130","-0.16"
"Feb 28, 2018","6.250","6.460","6.460","6.170","0.00"
"Feb 27, 2018","6.250","6.470","6.470","6.180","-0.16"
"Feb 26, 2018","6.260","6.470","6.560","6.130","-5.30"
"Feb 23, 2018","6.610","6.340","6.610","6.340","4.26"
"Feb 22, 2018","6.340","6.610","6.610","6.240","-0.31"
"Feb 21, 2018","6.360","6.700","6.700","6.260","-0.31"
"Feb 20, 2018","6.380","6.610","6.610","6.260","0.00"
"Feb 19, 2018","6.380","6.360","6.380","6.210","-0.16"
"Feb 18, 2018","6.390","6.390","6.390","6.390","0.00"
"Feb 16, 2018","6.390","6.370","6.620","6.280","0.16"
"Feb 15, 2018","6.380","6.420","6.480","6.310","-1.54"
"Feb 14, 2018","6.480","6.560","6.690","6.350","-3.14"
"Feb 13, 2018","6.690","6.600","6.690","6.460","0.00"
"Feb 12, 2018","6.690","6.690","6.720","6.570","-0.15"
"Feb 09, 2018","6.700","6.690","6.980","6.600","-0.30"
"Feb 08, 2018","6.720","6.720","6.750","6.630","0.00"
"Feb 07, 2018","6.720","6.770","6.770","6.640","-0.15"
"Feb 06, 2018","6.730","6.720","6.730","6.660","0.75"
"Feb 05, 2018","6.680","6.670","6.990","6.610","-0.45"
"Feb 02, 2018","6.710","6.740","6.740","6.640","0.15"
"Feb 01, 2018","6.700","6.720","6.780","6.620","0.00"
"Jan 31, 2018","6.700","6.780","6.780","6.630","-0.30"
"Jan 30, 2018","6.720","6.770","6.780","6.670","0.00"
"Jan 29, 2018","6.720","6.740","6.770","6.680","0.30"
"Jan 26, 2018","6.700","6.790","6.790","6.670","-0.15"
"Jan 25, 2018","6.710","6.790","6.790","6.660","0.00"
"Jan 24, 2018","6.710","6.750","6.750","6.660","0.45"
"Jan 23, 2018","6.680","6.870","6.870","6.660","0.15"
"Jan 22, 2018","6.670","6.660","6.870","6.640","-0.60"
"Jan 19, 2018","6.710","6.620","6.840","6.620","0.90"
"Jan 18, 2018","6.650","6.670","6.940","6.620","-0.30"
"Jan 17, 2018","6.670","6.670","6.750","6.610","0.00"
"Jan 16, 2018","6.670","6.650","6.980","6.540","-0.30"
"Jan 15, 2018","6.690","6.930","6.940","6.610","0.00"
"Jan 12, 2018","6.690","6.760","6.880","6.660","0.15"
"Jan 11, 2018","6.680","6.650","6.760","6.520","1.67"
"Jan 10, 2018","6.570","6.530","6.590","6.480","0.00"
"Jan 09, 2018","6.570","6.660","6.760","6.490","-2.81"
"Jan 08, 2018","6.760","6.890","6.890","6.760","0.00"
"Jan 05, 2018","6.760","6.710","6.890","6.480","0.00"
"Jan 04, 2018","6.760","6.710","6.890","6.490","0.00"
"Jan 03, 2018","6.760","6.710","6.890","6.490","0.00"
"Jan 02, 2018","6.760","6.890","6.890","6.650","3.05"
"Dec 29, 2017","6.560","6.710","6.780","6.530","-3.53"
"Dec 28, 2017","6.800","6.790","6.800","6.650","0.00"
"Dec 27, 2017","6.800","6.790","6.920","6.670","0.15"
"Dec 26, 2017","6.790","7.020","7.020","6.620","0.00"
"Dec 25, 2017","6.790","7.160","7.160","6.700","-3.69"
"Dec 22, 2017","7.050","7.030","7.230","6.860","0.00"
"Dec 21, 2017","7.050","7.160","7.160","6.960","0.00"
"Dec 20, 2017","7.050","7.060","7.060","6.980","0.28"
"Dec 19, 2017","7.030","7.070","7.110","6.980","-1.13"
"Dec 18, 2017","7.110","7.170","7.180","7.020","-1.11"
"Dec 16, 2017","7.190","7.190","7.190","7.190","0.00"
"Dec 15, 2017","7.190","7.240","7.240","7.020","-0.28"
"Dec 14, 2017","7.210","7.240","7.240","7.130","0.00"
"Dec 13, 2017","7.210","7.340","7.340","7.110","0.56"
"Dec 12, 2017","7.170","7.340","7.340","7.090","0.00"
"Dec 11, 2017","7.170","7.370","7.370","7.090","0.00"
"Dec 08, 2017","7.170","7.120","7.220","7.090","-0.14"
"Dec 07, 2017","7.180","7.340","7.340","7.090","-0.28"
"Dec 06, 2017","7.200","7.440","7.440","7.110","-0.41"
"Dec 05, 2017","7.230","7.190","7.230","7.140","0.00"
"Dec 04, 2017","7.230","7.250","7.250","7.140","-0.28"
"Dec 01, 2017","7.250","7.470","7.470","7.170","-0.28"
"Nov 30, 2017","7.270","7.470","7.470","7.240","-0.27"
"Nov 29, 2017","7.290","7.460","7.460","7.230","0.00"
"Nov 28, 2017","7.290","7.470","7.470","7.240","-0.68"
"Nov 27, 2017","7.340","7.330","7.430","7.240","-0.27"
"Nov 24, 2017","7.360","7.570","7.570","7.270","-0.94"
"Nov 23, 2017","7.430","7.570","7.570","7.280","0.00"
"Nov 22, 2017","7.430","7.400","7.450","7.330","-0.27"
"Nov 21, 2017","7.450","7.450","7.470","7.330","0.54"
"Nov 20, 2017","7.410","7.570","7.570","7.330","-0.80"
"Nov 17, 2017","7.470","7.480","7.480","7.400","0.00"
"Nov 16, 2017","7.470","7.490","7.490","7.440","-0.27"
"Nov 15, 2017","7.490","7.570","7.570","7.450","0.00"
"Nov 14, 2017","7.490","7.460","7.490","7.400","0.40"
"Nov 13, 2017","7.460","7.570","7.570","7.430","-0.40"
"Nov 10, 2017","7.490","7.630","7.630","7.370","0.00"
"Nov 09, 2017","7.490","7.590","7.590","7.370","0.27"
"Nov 08, 2017","7.470","7.590","7.590","7.340","0.40"
"Nov 07, 2017","7.440","7.590","7.590","7.380","-0.27"
"Nov 06, 2017","7.460","7.540","7.540","7.460","0.00"
"Nov 04, 2017","7.460","7.460","7.460","7.460","0.00"
"Nov 03, 2017","7.460","7.580","7.580","7.380","-0.27"
"Nov 02, 2017","7.480","7.460","7.530","7.410","-3.48"
"Nov 01, 2017","7.750","7.590","7.750","7.110","2.65"
"Oct 31, 2017","7.550","7.600","7.610","7.430","-0.53"
"Oct 30, 2017","7.590","7.570","7.600","7.420","1.07"
"Oct 29, 2017","7.510","7.510","7.510","7.510","0.00"
"Oct 27, 2017","7.510","7.660","7.660","7.430","-1.31"
"Oct 26, 2017","7.610","7.610","7.630","7.420","-1.81"
"Oct 25, 2017","7.750","7.610","7.840","7.460","3.06"
"Oct 24, 2017","7.520","7.610","7.840","7.380","-2.97"
"Oct 23, 2017","7.750","7.550","7.850","7.410","3.75"
"Oct 22, 2017","7.470","7.470","7.470","7.470","0.00"
"Oct 20, 2017","7.470","7.550","7.840","7.400","0.00"
"Oct 19, 2017","7.470","7.580","7.860","7.440","-3.61"
"Oct 18, 2017","7.750","7.590","7.870","7.480","2.51"
"Oct 17, 2017","7.560","7.640","7.860","7.480","-0.26"
"Oct 16, 2017","7.580","7.720","7.910","7.360","-0.13"
"Oct 13, 2017","7.590","7.660","7.900","7.590","-3.56"
"Oct 12, 2017","7.870","7.660","7.890","7.620","3.28"
"Oct 11, 2017","7.620","7.720","7.890","7.620","-0.39"
"Oct 10, 2017","7.650","7.720","7.890","7.620","0.39"
"Oct 09, 2017","7.620","7.700","7.910","7.600","-0.13"
"Oct 06, 2017","7.630","7.720","7.890","7.620","-0.26"
"Oct 05, 2017","7.650","7.750","7.990","7.630","0.00"
"Oct 04, 2017","7.650","7.750","7.870","7.570","-0.26"
"Oct 03, 2017","7.670","7.730","7.820","7.600","1.32"
"Oct 02, 2017","7.570","7.600","7.890","7.510","-0.39"
"Sep 29, 2017","7.600","8.150","8.150","7.530","-0.39"
"Sep 28, 2017","7.630","7.820","7.820","7.510","0.13"
"Sep 27, 2017","7.620","7.820","7.820","7.560","0.26"
"Sep 26, 2017","7.600","7.620","7.620","7.380","0.66"
"Sep 25, 2017","7.550","7.580","7.580","7.430","0.80"
"Sep 22, 2017","7.490","7.830","7.830","7.450","-1.96"
"Sep 21, 2017","7.640","7.640","7.710","7.440","-1.42"
"Sep 20, 2017","7.750","7.750","7.750","7.570","2.24"
"Sep 19, 2017","7.580","7.660","7.750","7.550","-0.13"
"Sep 18, 2017","7.590","7.660","7.710","7.470","0.66"
"Sep 15, 2017","7.540","7.730","7.730","7.540","-1.05"
"Sep 14, 2017","7.620","7.700","7.860","7.580","-0.26"
"Sep 13, 2017","7.640","7.680","7.800","7.600","-0.13"
"Sep 12, 2017","7.650","7.740","7.960","7.600","-0.13"
"Sep 11, 2017","7.660","7.680","7.850","7.620","0.00"
"Sep 08, 2017","7.660","7.790","7.850","7.600","-0.91"
"Sep 07, 2017","7.730","7.740","7.950","7.660","-2.77"
"Sep 06, 2017","7.950","7.840","7.950","7.660","2.45"
"Sep 05, 2017","7.760","7.900","7.900","7.710","0.00"
"Sep 04, 2017","7.760","7.920","7.930","7.760","-1.52"
"Sep 01, 2017","7.880","7.920","7.920","7.640","0.64"
