TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
ABRD,2014-01-06,101.25,101.25,101,101,200,101.13
AESL,2014-01-06,90,90,90,90,3000,90
AFKS,2014-01-06,45.72,47.998,43.115,43.899,3720900,44.704
AFLT,2014-01-06,83.96,84.83,82.6,83.24,2490000,83.38
AKHA,2014-01-06,,,,,,
AKRN,2014-01-06,1130,1135.5,1099,1120,9492,1114.6
ALBK,2014-01-06,,,,,,
ALNU,2014-01-06,,,,,,
ALRS,2014-01-06,35.399,35.399,33.405,33.679,1537100,33.985
AMEZ,2014-01-06,3.4,3.45,3.163,3.369,15800,3.329
APTK,2014-01-06,19.48,19.48,19,19.18,52500,19.11
AQUA,2014-01-06,34.48,34.48,30.15,31.2,4000,32.53
ARMD,2014-01-06,158.21,159.68,156.06,156.44,1070,156.66
ARSA,2014-01-06,0.7447,0.7447,0.7,0.7388,24000,0.7297
ASSB,2014-01-06,0.2862,0.2862,0.25,0.252,63000,0.2653
AVAN,2014-01-06,,,,,,
AVAZ,2014-01-06,10.9,10.96,10.89,10.9,46400,10.912
AVAZP,2014-01-06,2.801,2.854,2.8,2.829,178600,2.825
BANE,2014-01-06,2015.9,2017,1974.1,1974.5,8694,1983.7
BANEP,2014-01-06,1406,1416.6,1391.8,1412.5,21678,1409.2
BELU,2014-01-06,,,,,,
BGDE,2014-01-06,,,,,,
BISV,2014-01-06,,,,,,
BISVP,2014-01-06,,,,,,
BLNG,2014-01-06,2.481,2.61,2.469,2.549,372400,2.545
BRZL,2014-01-06,365,365,363,365,90,364.6
BSPB,2014-01-06,42.03,42.03,40.22,40.3,61840,40.6
CHEP,2014-01-06,28,28,27.01,27.6,1700,27.47
CHGZ,2014-01-06,24.002,27.977,21.577,27.977,3000,24.519
CHKZ,2014-01-06,,,,,,
CHMF,2014-01-06,316,317.2,307.9,308,1222750,312.4
CHMK,2014-01-06,930,950,925,950,27,948
CHZN,2014-01-06,122,123.95,121.5,122,260,122.78
CLSB,2014-01-06,,,,,,
CLSBP,2014-01-06,,,,,,
CNTL,2014-01-06,14.701,16.48,14.701,16.48,500,15.532
CNTLP,2014-01-06,7.061,7.199,6.771,6.771,3900,7.096
DALM,2014-01-06,,,,,,
DASB,2014-01-06,0.01995,0.0204,0.01969,0.01969,60000,0.01992
DGBZ,2014-01-06,,,,,,
DGBZP,2014-01-06,18,18,18,18,100,18
DIOD,2014-01-06,3.991,4.7,3.951,4.5,49600,4.294
DIXY,2014-01-06,403.04,410,397.07,398.19,21840,401.57
DNKOP,2014-01-06,,,,,,
DVEC,2014-01-06,0.4601,0.505,0.4601,0.505,5000,0.4691
DZRD,2014-01-06,1050,1050,737.7,737.7,2,893.9
DZRDP,2014-01-06,,,,,,
ELTZ,2014-01-06,,,,,,
ENRU,2014-01-06,1.1199,1.1548,1.1195,1.1198,160000,1.1381
EVCO,2014-01-06,,,,,,
FEES,2014-01-06,0.08885,0.09058,0.08782,0.08902,2494440000,0.08963
FESH,2014-01-06,3.995,3.995,3.87,3.88,4500,3.965
FORTP,2014-01-06,,,,,,
GAZA,2014-01-06,750,785,750,750.1,690,750.5
GAZAP,2014-01-06,510,510,510,510,10,510
GAZC,2014-01-06,,,,,,
GAZP,2014-01-06,137.51,137.91,135.24,135.47,19619510,136.64
GAZS,2014-01-06,,,,,,
GAZT,2014-01-06,,,,,,
GCHE,2014-01-06,584,587.2,584,584.9,513,585.3
GMKN,2014-01-06,5351,5359,5237,5280,209958,5280
GRAZ,2014-01-06,9.55,9.8,9.54,9.58,19600,9.72
GTLC,2014-01-06,0.2555,0.2699,0.2499,0.2585,1219000,0.2611
GTPR,2014-01-06,,,,,,
GUMM,2014-01-06,,,,,,
HALS,2014-01-06,943,943,935.2,940.5,43,938.7
HIMC,2014-01-06,,,,,,
HIMCP,2014-01-06,,,,,,
HYDR,2014-01-06,0.5631,0.5697,0.5587,0.5606,344929000,0.5645
IGST,2014-01-06,,,,,,
IGSTP,2014-01-06,,,,,,
IRAO,2014-01-06,0.00995,0.010095,0.009687,0.00973,21433100000,0.009889
IRGZ,2014-01-06,7.77,7.77,7.465,7.625,15400,7.654
IRKT,2014-01-06,5.763,5.79,5.656,5.68,4100,5.727
ISKJ,2014-01-06,19.002,19.298,18.803,19.099,1400,19.108
JNOS,2014-01-06,,,,,,
JNOSP,2014-01-06,,,,,,
KAZT,2014-01-06,,,,,,
KAZTP,2014-01-06,52,52,52,52,100,52
KBSB,2014-01-06,131.11,131.11,131,131,140,131.04
KBTK,2014-01-06,54.53,56.39,54.53,56.39,13730,55.27
KCHE,2014-01-06,0.05805,0.081,0.05751,0.081,140000,0.06595
KCHEP,2014-01-06,,,,,,
KGKC,2014-01-06,,,,,,
KGKCP,2014-01-06,,,,,,
KISB,2014-01-06,,,,,,
KISBP,2014-01-06,0.03632,0.03695,0.0331,0.03488,190000,0.03531
KLSB,2014-01-06,7.68,7.68,4.57,5.98,1100,5.428
KMAZ,2014-01-06,50.13,52.48,50.12,50.28,22500,51.17
KMEZ,2014-01-06,599,599,505,505,2,552
KOGK,2014-01-06,62000,62000,62000,62000,1,62000
KOMM,2014-01-06,193.3,193.3,193.1,193.1,2,193.2
KRKN,2014-01-06,,,,,,
KRKNP,2014-01-06,,,,,,
KRKO,2014-01-06,,,,,,
KRKOP,2014-01-06,4.431,4.431,4.431,4.431,100,4.431
KROT,2014-01-06,,,,,,
KROTP,2014-01-06,,,,,,
KRSB,2014-01-06,,,,,,
KRSBP,2014-01-06,3.1418,3.1418,3.1418,3.1418,1000,3.1418
KRSG,2014-01-06,42.03,43.23,40.4,43.23,80,41.51
KTSB,2014-01-06,,,,,,
KTSBP,2014-01-06,,,,,,
KUBE,2014-01-06,75,75,75,75,10,75
KUSTP,2014-01-06,,,,,,
KUZB,2014-01-06,,,,,,
KZBE,2014-01-06,0.03807,0.03807,0.0362,0.03749,1250000,0.03726
KZMS,2014-01-06,,,,,,
KZOS,2014-01-06,,,,,,
KZOSP,2014-01-06,3.2,3.2,3.2,3.2,11000,3.2
LIFE,2014-01-06,15.072,16.201,15.072,16.201,800,15.919
LKOH,2014-01-06,2007.5,2023,1990,1990.2,809076,2006.7
LNZL,2014-01-06,5630,5630,5590.2,5600,25,5602
LNZLP,2014-01-06,1622.9,1638.7,1618,1618,60,1624.9
LPSB,2014-01-06,,,,,,
LSNG,2014-01-06,2.378,2.5,2.35,2.4,160300,2.424
LSNGP,2014-01-06,11.362,11.479,11.34,11.449,8300,11.419
LSRG,2014-01-06,600.6,606.7,580.2,585,10681,587.1
LVHK,2014-01-06,14.829,14.835,14.201,14.826,139700,14.314
MAGE,2014-01-06,,,,,,
MAGEP,2014-01-06,,,,,,
MAGN,2014-01-06,7.392,7.392,7.211,7.264,5401300,7.273
MASZ,2014-01-06,,,,,,
MERF,2014-01-06,,,,,,
MFGS,2014-01-06,644.8,644.8,581,581,140,585.6
MFGSP,2014-01-06,485.01,485.03,485.01,485.02,160,485.02
MFON,2014-01-06,1082.9,1099.9,1054.1,1071.9,16210,1073.1
MGNT,2014-01-06,9558,9558,8940,8956.9,109666,9042
MGNZ,2014-01-06,,,,,,
MGTS,2014-01-06,,,,,,
MGTSP,2014-01-06,490,510,490,510,170,492.24
